Id,SalePrice
1461,121688.09934086085
1462,151144.64187691887
1463,173950.64690915676
1464,189252.90250336044
1465,211950.04164973268
1466,167303.31668702167
1467,178042.90014325833
1468,162292.96105901807
1469,202815.7082949211
1470,115935.41388122633
1471,168230.70166352886
1472,92171.62004279435
1473,89528.1416367786
1474,139820.05284255862
1475,106880.60852011682
1476,372173.1646687706
1477,246060.48382607946
1478,323057.0635807094
1479,312916.12760043674
1480,457443.465725902
1481,306818.3909251696
1482,213753.7397328309
1483,176287.3482404819
1484,157614.80235769338
1485,189575.18066557538
1486,196474.42732580018
1487,331972.6264481039
1488,238566.85290561637
1489,194954.9825007295
1490,261925.1490902506
1491,202397.48227405816
1492,100346.07828524664
1493,208628.69295786397
1494,294160.66827680246
1495,291790.5978635991
1496,244081.54301266695
1497,179819.957941179
1498,161593.5323638291
1499,158709.53535026565
1500,156953.00329225723
1501,180566.76888446053
1502,152693.82902667584
1503,268182.08041070524
1504,242192.31984601595
1505,230792.89847217177
1506,188603.1011691194
1507,241940.68853033168
1508,190009.37166687404
1509,158934.43448667412
1510,143515.77819062615
1511,142695.227105383
1512,173115.71305173755
1513,155439.89802894523
1514,151847.72265786785
1515,199846.60527760038
1516,156770.5071532243
1517,173306.44226278306
1518,121927.57246019471
1519,207521.46181060746
1520,122682.16158218254
1521,126809.02017392204
1522,184469.2585095173
1523,103179.57877126116
1524,119099.62010511241
1525,112517.6642610176
1526,110341.9715206293
1527,96128.1573795723
1528,140775.47627772312
1529,158219.93554389384
1530,206303.62161076156
1531,126671.41897329137
1532,103409.45832047472
1533,144131.04902033234
1534,122808.25589384564
1535,159815.33483131026
1536,102731.24937991519
1537,41124.20702506887
1538,154077.61741820342
1539,191473.84154860856
1540,124697.80189389773
1541,127117.48373712112
1542,154663.70644812504
1543,178937.2603250505
1544,97937.71046258045
1545,131837.56218642046
1546,144666.60367283382
1547,143152.10492340804
1548,150772.35764323763
1549,122110.11468180847
1550,141976.83213247667
1551,112895.85439637885
1552,140533.00255309825
1553,145304.32314511828
1554,120583.42220570719
1555,167452.93617896285
1556,70781.04007565576
1557,109300.21197508124
1558,97284.71710396209
1559,91329.17743302972
1560,144636.34462652853
1561,118969.95863150705
1562,129163.21080934851
1563,118978.21163268734
1564,158814.02805815462
1565,145680.5848222272
1566,238959.8335400043
1567,74146.62274409266
1568,219199.49530531035
1569,116316.31273029454
1570,137291.3098816648
1571,108595.21849536354
1572,144468.6675466869
1573,234805.99621920614
1574,119620.92100974603
1575,234294.02245704457
1576,233867.31944468466
1577,179847.58925385756
1578,141141.0431189561
1579,135008.67570695028
1580,194020.30717911213
1581,157189.29909788052
1582,141185.94877085232
1583,262846.1822087517
1584,222556.4214477742
1585,144098.30298972217
1586,57803.87313324705
1587,113642.24719358142
